wavelength_nm,refractive_index,specific_abs_coeff_chl,specific_abs_coeff_car,specific_abs_coeff_cw,specific_abs_coeff_cm
971,1.44338,0,0,0.481,2.3
972,1.44324,0,0,0.483,2.3
973,1.44304,0,0,0.484,2.3
974,1.44283,0,0,0.486,2.3
975,1.44272,0,0,0.487,2.3
976,1.44264,0,0,0.487,2.3
977,1.4425,0,0,0.486,2.3
978,1.44233,0,0,0.486,2.3
979,1.44216,0,0,0.484,2.3
980,1.44199,0,0,0.482,2.3
981,1.44181,0,0,0.48,2.3
982,1.44166,0,0,0.479,2.3
983,1.44154,0,0,0.476,2.3
984,1.44147,0,0,0.474,2.3
985,1.44143,0,0,0.471,2.3
986,1.44146,0,0,0.468,2.3
987,1.44153,0,0,0.464,2.3
988,1.44158,0,0,0.46,2.3
989,1.44157,0,0,0.457,2.3
990,1.4415,0,0,0.453,2.3
991,1.44143,0,0,0.448,2.3
992,1.44131,0,0,0.443,2.3
993,1.44115,0,0,0.44,2.3
994,1.44095,0,0,0.436,2.3
995,1.44074,0,0,0.432,2.3
996,1.44052,0,0,0.426,2.3
997,1.44031,0,0,0.422,2.3
998,1.44012,0,0,0.417,2.3
999,1.44002,0,0,0.412,2.3
1000,1.43993,0,0,0.407,2.3
1001,1.43974,0,0,0.402,2.3
1002,1.43954,0,0,0.396,2.3
1003,1.4394,0,0,0.391,2.3
1004,1.4393,0,0,0.387,2.3
1005,1.43924,0,0,0.382,2.3
1006,1.43918,0,0,0.376,2.3
1007,1.43916,0,0,0.37,2.3
1008,1.43911,0,0,0.364,2.3
1009,1.43901,0,0,0.358,2.3
1010,1.43888,0,0,0.352,2.3
1011,1.43872,0,0,0.346,2.3
1012,1.43859,0,0,0.34,2.3
1013,1.43849,0,0,0.335,2.3
1014,1.43842,0,0,0.33,2.3
1015,1.43837,0,0,0.324,2.3
